epoch,loss,mae,val_loss,val_mae
0,167504288.0,9260.587890625,44644360.0,4406.70166015625
1,51498436.0,4785.4521484375,42723524.0,3805.830810546875
2,50964024.0,4585.14111328125,35210896.0,3472.703125
3,48210708.0,4355.33349609375,56417644.0,5864.224609375
4,52877732.0,4681.244140625,32565722.0,3229.807373046875
5,42363640.0,4242.43798828125,27859048.0,3176.564208984375
6,42273740.0,4226.9052734375,35328260.0,3297.95556640625
7,42925028.0,4248.32568359375,26733974.0,2932.76416015625
8,39646400.0,3943.963134765625,27043640.0,2950.087158203125
9,34225292.0,3760.84765625,27772650.0,2660.88232421875
10,36472976.0,3826.4033203125,37544768.0,3260.22802734375
11,44414272.0,4086.064697265625,45355220.0,3918.806396484375
12,39952588.0,3946.427490234375,29015984.0,2627.051513671875
13,38789960.0,3777.00537109375,42036960.0,3473.488525390625
14,44615964.0,4252.59228515625,31648286.0,2885.7275390625
15,39121416.0,3871.7568359375,25707444.0,3031.880126953125
16,35397220.0,3650.348388671875,25958528.0,2741.9296875
17,36504100.0,3707.556396484375,25953036.0,3162.314208984375
18,45083020.0,4254.072265625,41783164.0,3702.361083984375
19,40691032.0,4116.125,29534512.0,2890.178466796875
20,40429632.0,3849.010986328125,31811572.0,2941.750732421875
21,33911836.0,3694.5146484375,28330322.0,2946.40966796875
22,45452964.0,3947.4599609375,35036268.0,4689.0927734375
23,36509840.0,3769.63671875,25720434.0,3627.9619140625
24,37614472.0,3824.731689453125,24970102.0,3284.607666015625
25,32637526.0,3608.099609375,26401204.0,2588.691162109375
26,35058496.0,3575.832763671875,30931450.0,2874.599609375
27,40245088.0,3944.25341796875,25846694.0,2898.60498046875
28,34230872.0,3613.06689453125,29546494.0,3941.24853515625
29,34383860.0,3635.40625,25053520.0,3559.221435546875
30,32852296.0,3595.719970703125,29083728.0,3203.86328125
31,40116424.0,3959.817138671875,29496676.0,2777.917724609375
32,35283924.0,3669.3837890625,25555984.0,3138.708984375
33,48642684.0,4431.0556640625,29370594.0,2929.319580078125
34,35793728.0,3807.889404296875,25320036.0,3120.555908203125
35,39121580.0,3716.905517578125,31153858.0,2901.72705078125
36,41383144.0,4109.25048828125,28785790.0,2946.2216796875
37,35574764.0,3778.6416015625,24839054.0,2996.0654296875
38,43500396.0,4289.8154296875,27892808.0,2834.04931640625
39,36949768.0,3792.541748046875,28669288.0,2857.609375
40,36174032.0,3924.920654296875,34164052.0,3030.650634765625
41,39451556.0,3767.54150390625,25567518.0,3227.108642578125
42,33367696.0,3582.242919921875,26258598.0,2818.49853515625
43,40886564.0,4052.7724609375,26066056.0,3156.9248046875
44,36862472.0,3796.5693359375,26613892.0,3923.735595703125
45,38151124.0,3867.29638671875,36073608.0,3162.3203125
46,35332724.0,3741.364501953125,28422686.0,3004.62939453125
47,31579856.0,3438.384521484375,25925032.0,2953.200927734375
48,35931080.0,3660.7548828125,30765910.0,3734.23193359375
49,52665960.0,4748.5576171875,38047200.0,3260.41796875
50,38542160.0,3754.4716796875,27412306.0,3821.458984375
51,41707712.0,4377.958984375,32693516.0,3354.820068359375
52,40976876.0,4079.923583984375,26879628.0,3190.92919921875
53,35872680.0,3768.488525390625,25971408.0,2841.39990234375
54,36582964.0,3785.759765625,27456902.0,2699.427734375
55,35407600.0,3557.478271484375,32832026.0,2985.587646484375
56,40496616.0,3892.85107421875,27402614.0,2687.153564453125
57,35802132.0,3559.558349609375,25549732.0,2752.73193359375
